Feature,Cluster 6
genepc1,0.5439541277591281
feobv,-0.16832014194286812
raclopride,0.2728137596795267
feobv,-0.12335418486858789
az10419369,-0.5063332257569813
cimbi36,-0.2656050296208453
cumi101,-0.11994144301765544
dasb,0.06870937612536951
sb207145,0.04955101190752786
mrb,0.15186592830858048
abp688,-0.17151709250071126
flumazenil,-0.027869981154634665
fpcit,-0.02189873508936099
madam,-0.1786314457527224
ucbj,0.10300335694484473
p943,-0.5091689937249727
gsk189254,-0.44150656247251713
megalpha,0.7282915330173265
megbeta,-0.016452173054683984
megdelta,-0.6396513057578966
meggamma1,-0.6554156759499146
meggamma2,-0.5166554976822054
megtheta,-0.5462964468603853
megtimescale,-0.6440400823405151
myelinmap,0.49440489014743455
thickness,-0.2991034394673351
methylreboxetine,0.2323656458477978
devexp,-0.31565891686445546
evoexp,-0.12818819041348473
flubatine,-0.3461173732463604
fallypride,0.21701704375002995
sch23390,-0.2298147938069704
carfentanil,-0.5805195175386325
fmpepd2,-0.2848054807930129
fcgradient01,-0.5134612253850921
fcgradient02,-0.0005751883757877888
fcgradient03,-0.11813093876428882
fcgradient04,-0.02705910583462164
fcgradient05,-0.09259385024156329
fcgradient06,-0.021296891642500107
fcgradient07,-0.11281204049106713
fcgradient08,0.228200057659332
fcgradient09,-0.25031114056370113
fcgradient10,-0.3009020828517553
intersubjvar,-0.300079984343922
lsn3172176,0.10448060904168507
cogpc1,0.39347450700747993
flumazenil,-0.10428688151556055
omar,-0.3780445367980153
gsk215083,-0.040953029747414875
cbf,-0.2559979808467117
cbv,0.2826881243817426
cmr02,-0.11827645759727635
cmrglc,-0.22385438832084129
scalinghcp,-0.1484336734151878
scalingnih,0.06530696470868068
scalingpnc,-0.03648569085005464
abp688,-0.29445652956485086
flb457,0.04127786451307596
fepe2i,0.00596678229739062
meancbf,-0.2777064495968224
altanserin,-0.05031724954871035
dasb,-0.05842485492281357
p943,-0.30052227997302006
way100635,-0.11629390697607433
abp688,-0.04772979461124192
flb457,0.11267812745457552
SAaxis,-0.6041963626801518
feobv,-0.10785955379293156
carfentanil,-0.5799403755398627
ly2795050,-0.3660359809027987
FChomology,0.2926642629916921
evoexp,-0.16353944654011748
