Feature,Gradient 1
genepc1,0.4055692562937259
feobv,0.08245536873998513
raclopride,0.3771767786274071
feobv,0.04383855842509073
az10419369,0.07979999845677822
cimbi36,0.15626638065622933
cumi101,0.12724660941313848
dasb,0.20157974469967618
sb207145,0.008842918026630864
mrb,0.4335005156932795
abp688,0.09735286023297506
flumazenil,0.16839636108303307
fpcit,0.1705391245302819
madam,0.26132017479558745
ucbj,0.022338649732379624
p943,0.1744113251902664
gsk189254,0.21256954143164683
megalpha,0.4430628322749404
megbeta,0.3651815729030831
megdelta,0.476472297882957
meggamma1,0.3569963245601175
meggamma2,0.4706695267710399
megtheta,0.12778442220490385
megtimescale,0.578284297461143
myelinmap,0.3756286699743054
thickness,0.13745656473686782
methylreboxetine,0.4448398521593531
devexp,0.07341260349231091
evoexp,0.11055435098521853
flubatine,0.05390859497372666
fallypride,0.10525698500760038
sch23390,0.3500618574731801
carfentanil,0.33776186544649267
fmpepd2,0.015944824677145145
fcgradient01,0.5440211730028781
fcgradient02,0.1995573525515886
fcgradient03,0.1315213337551473
fcgradient04,0.34659861058598707
fcgradient05,0.05754108184991139
fcgradient06,0.05922036435466324
fcgradient07,0.24553816001666678
fcgradient08,0.0620778966915897
fcgradient09,0.0889901413848358
fcgradient10,0.2658122362055263
intersubjvar,0.07936352389550332
lsn3172176,0.033221706957615414
cogpc1,0.6939881223363349
flumazenil,0.1822591223697714
omar,0.28384581156747607
gsk215083,0.03341049442253927
cbf,0.08930778786873356
cbv,0.10625390628014106
cmr02,0.04356540816930172
cmrglc,0.05236717361502276
scalinghcp,0.00018672983587836325
scalingnih,0.17318600709367613
scalingpnc,0.02940763431816604
abp688,0.18556701826402983
flb457,0.06763323791078635
fepe2i,0.19104622720854328
meancbf,0.12619606929812174
altanserin,0.03443287885451791
dasb,0.2409962011023748
p943,0.01683423483205889
way100635,0.11787590953633902
abp688,0.07652065216552596
flb457,0.0522087361785199
SAaxis,0.4766549124607443
feobv,0.001442912368150989
carfentanil,0.2867545274269092
ly2795050,0.008127634729691845
FChomology,0.10633878347826758
evoexp,0.065821495536231
