HCP-MMP1.0 parcel,Left,Right
L_4_ROI,952711,901741
L_SFL_ROI,566337,517818
L_6ma_ROI,550809,513458
L_3b_ROI,479136,344180
L_6mp_ROI,446013,450845
L_8BL_ROI,432323,424001
L_1_ROI,421452,283603
L_10d_ROI,405545,294855
L_9m_ROI,386166,333256
L_a47r_ROI,326749,248037
L_6d_ROI,310702,191548
L_3a_ROI,293936,219122
L_a10p_ROI,288019,327670
L_9a_ROI,274368,312034
L_8BM_ROI,251744,233149
L_10pp_ROI,216751,330460
L_p10p_ROI,206982,186839
L_SCEF_ROI,200996,201749
L_2_ROI,172603,116286
L_9p_ROI,166665,152327
L_p47r_ROI,134046,98694
L_7AL_ROI,128899,97143
L_5m_ROI,126098,121362
L_5L_ROI,123882,113831
L_7Am_ROI,122634,84405
L_a9-46v_ROI,112016,71612
L_11l_ROI,108081,81442
L_6a_ROI,94905,56197
L_45_ROI,90157,38188
L_PeEc_ROI,89837,53341
L_TGd_ROI,82816,67515
L_s6-8_ROI,81726,121346
L_47l_ROI,79503,30295
L_V1_ROI,76783,81776
L_9-46d_ROI,74002,85762
L_8Av_ROI,72055,55386
L_PreS_ROI,70945,59331
L_POS2_ROI,66170,47380
L_IFSa_ROI,62855,55956
L_V2_ROI,62139,55910
L_i6-8_ROI,54484,45987
L_PCV_ROI,53781,40365
L_RSC_ROI,51587,29281
L_V3_ROI,51586,42968
L_46_ROI,49473,49631
L_5mv_ROI,48257,46459
L_VIP_ROI,46713,29889
L_Pir_ROI,45834,26318
L_7m_ROI,44116,31593
L_PoI2_ROI,43986,36760
L_7Pm_ROI,43682,30010
L_FEF_ROI,42987,38094
L_44_ROI,42278,35612
L_H_ROI,40594,31596
L_V3A_ROI,40251,34562
L_POS1_ROI,39963,26221
L_8Ad_ROI,39523,35183
L_7PC_ROI,36965,35687
L_55b_ROI,36064,24082
L_24dd_ROI,34613,57263
L_d32_ROI,34458,22880
L_EC_ROI,34195,16423
L_TGv_ROI,31720,15909
L_7PL_ROI,31457,19606
L_10v_ROI,31439,36662
L_p9-46v_ROI,31188,33046
L_v23ab_ROI,29455,12851
L_PHA1_ROI,27680,28598
L_6r_ROI,27052,27346
L_8C_ROI,25437,22226
L_p32pr_ROI,25285,18365
L_PGs_ROI,23441,30372
L_PoI1_ROI,23418,24086
L_6v_ROI,22800,25142
L_DVT_ROI,21548,17229
L_V6A_ROI,21329,16882
L_V6_ROI,19530,11375
L_23c_ROI,19311,19988
L_IFSp_ROI,18650,21063
L_a32pr_ROI,18344,13020
L_31pd_ROI,17164,10577
L_ProS_ROI,16425,12798
L_PGp_ROI,15866,23315
L_PFm_ROI,14944,13644
L_V4_ROI,13880,12190
L_LIPv_ROI,13688,12907
L_PHT_ROI,13673,22172
L_TE1p_ROI,13477,13484
L_IP1_ROI,13033,18574
L_FOP4_ROI,12370,6078
L_PH_ROI,12165,9095
L_TF_ROI,11972,7285
L_24dv_ROI,11923,16519
L_AAIC_ROI,11868,7313
L_43_ROI,10952,19442
L_31a_ROI,10718,10944
L_31pv_ROI,10131,7805
L_MI_ROI,10095,5013
L_MIP_ROI,10004,11536
L_PF_ROI,9774,5813
L_V7_ROI,9251,13089
L_10r_ROI,8878,6585
L_d23ab_ROI,8697,3274
L_pOFC_ROI,8609,11145
L_FFC_ROI,8412,5218
L_PFop_ROI,8287,5959
L_IP0_ROI,8181,10653
L_IPS1_ROI,7855,7265
L_a24pr_ROI,7525,6996
L_TE2p_ROI,7398,4287
L_A4_ROI,7202,4928
L_p24_ROI,6791,5965
L_VVC_ROI,6554,6120
L_33pr_ROI,6438,4613
L_OP4_ROI,6218,8393
L_p24pr_ROI,6039,7682
L_PI_ROI,5957,4663
L_p32_ROI,5552,4196
L_FST_ROI,5146,5833
L_STGa_ROI,5025,2973
L_PHA3_ROI,4999,4298
L_A5_ROI,4634,3395
L_PEF_ROI,4621,4091
L_OFC_ROI,4455,4309
L_TA2_ROI,4215,3395
L_FOP1_ROI,4183,4148
L_V3CD_ROI,4154,4538
L_PHA2_ROI,4091,5493
L_LO3_ROI,4061,4386
L_23d_ROI,3973,5399
L_PFt_ROI,3828,2389
L_PBelt_ROI,3747,2537
L_47s_ROI,3703,2340
L_TE2a_ROI,3650,2706
